x,y,R,s,T
0.860000,-0.820000,0.718904,0.040000,345.012884
0.900000,-0.820000,0.734397,0.040000,342.585676
0.940000,-0.820000,0.751410,0.040000,340.136017
0.980000,-0.820000,0.769122,0.040000,337.674990
1.020000,-0.820000,0.787787,0.040000,335.213214
1.060000,-0.820000,0.808002,0.040000,332.760701
1.100000,-0.820000,0.828333,0.040000,330.326749
1.140000,-0.820000,0.849938,0.040000,327.919862
1.180000,-0.820000,0.872842,0.040000,325.547708
1.220000,-0.820000,0.896324,0.040000,323.217097
1.260000,-0.820000,0.920401,0.040000,320.933985
1.300000,-0.820000,0.945558,0.040000,318.703504
1.340000,-0.820000,0.971710,0.040000,316.529994
-1.420000,-0.780000,0.997279,0.040000,315.529998
-1.380000,-0.780000,0.969430,0.040000,317.714343
-1.340000,-0.780000,0.942233,0.040000,319.967936
-1.300000,-0.780000,0.915239,0.040000,322.287937
-1.260000,-0.780000,0.889226,0.040000,324.670753
-1.220000,-0.780000,0.864281,0.040000,327.111974
-1.180000,-0.780000,0.840500,0.040000,329.606301
-1.140000,-0.780000,0.817015,0.040000,332.147493
-1.100000,-0.780000,0.794516,0.040000,334.728330
-1.060000,-0.780000,0.773432,0.040000,337.340589
-1.020000,-0.780000,0.753091,0.040000,339.975055
-0.980000,-0.780000,0.733544,0.040000,342.621563
-0.940000,-0.780000,0.715701,0.040000,345.269080
-0.900000,-0.780000,0.697975,0.040000,347.905821
-0.860000,-0.780000,0.681975,0.040000,350.519425
-0.820000,-0.780000,0.666455,0.040000,353.097145
-0.780000,-0.780000,0.652457,0.040000,355.626095
-0.740000,-0.780000,0.638803,0.040000,358.093497
-0.700000,-0.780000,0.626804,0.040000,360.486941
-0.660000,-0.780000,0.614931,0.040000,362.794636
-0.620000,-0.780000,0.604313,0.040000,365.005627
-0.580000,-0.780000,0.594829,0.040000,367.109974
-0.540000,-0.780000,0.585445,0.040000,369.098877
-0.500000,-0.780000,0.577191,0.040000,370.964744
-0.460000,-0.780000,0.569964,0.040000,372.701204
-0.420000,-0.780000,0.563060,0.040000,374.303066
-0.380000,-0.780000,0.556773,0.040000,375.766236
-0.340000,-0.780000,0.551372,0.040000,377.087604
-0.300000,-0.780000,0.546820,0.040000,378.264904
-0.260000,-0.780000,0.542709,0.040000,379.296576
-0.220000,-0.780000,0.538939,0.040000,380.181615
-0.180000,-0.780000,0.535964,0.040000,380.919435
-0.140000,-0.780000,0.533778,0.040000,381.509748
-0.100000,-0.780000,0.532364,0.040000,381.952454
-0.060000,-0.780000,0.530917,0.040000,382.247556
-0.020000,-0.780000,0.530180,0.040000,382.395091
0.020000,-0.780000,0.530180,0.040000,382.395091
0.060000,-0.780000,0.530917,0.040000,382.247556
0.100000,-0.780000,0.532364,0.040000,381.952454
0.140000,-0.780000,0.533778,0.040000,381.509748
0.180000,-0.780000,0.535964,0.040000,380.919435
0.220000,-0.780000,0.538939,0.040000,380.181615
0.260000,-0.780000,0.542709,0.040000,379.296576
0.300000,-0.780000,0.546820,0.040000,378.264904
0.340000,-0.780000,0.551372,0.040000,377.087604
0.380000,-0.780000,0.556773,0.040000,375.766236
0.420000,-0.780000,0.563060,0.040000,374.303066
0.460000,-0.780000,0.569964,0.040000,372.701204
0.500000,-0.780000,0.577191,0.040000,370.964744
0.540000,-0.780000,0.585445,0.040000,369.098877
0.580000,-0.780000,0.594829,0.040000,367.109974
0.620000,-0.780000,0.604313,0.040000,365.005627
0.660000,-0.780000,0.614931,0.040000,362.794636
0.700000,-0.780000,0.626804,0.040000,360.486941
0.740000,-0.780000,0.638803,0.040000,358.093497
0.780000,-0.780000,0.652457,0.040000,355.626095
0.820000,-0.780000,0.666455,0.040000,353.097145
0.860000,-0.780000,0.681975,0.040000,350.519425
0.900000,-0.780000,0.697975,0.040000,347.905821
0.940000,-0.780000,0.715701,0.040000,345.269080
0.980000,-0.780000,0.733544,0.040000,342.621563
1.020000,-0.780000,0.753091,0.040000,339.975055
1.060000,-0.780000,0.773432,0.040000,337.340589
1.100000,-0.780000,0.794516,0.040000,334.728330
1.140000,-0.780000,0.817015,0.040000,332.147493
1.180000,-0.780000,0.840500,0.040000,329.606301
1.220000,-0.780000,0.864281,0.040000,327.111974
1.260000,-0.780000,0.889226,0.040000,324.670753
1.300000,-0.780000,0.915239,0.040000,322.287937
1.340000,-0.780000,0.942233,0.040000,319.967936
1.380000,-0.780000,0.969430,0.040000,317.714343
1.420000,-0.780000,0.997279,0.040000,315.529998
-1.500000,-0.740000,1.029001,0.040000,314.212447
-1.460000,-0.740000,0.998836,0.040000,316.377173
-1.420000,-0.740000,0.969384,0.040000,318.620892
-1.380000,-0.740000,0.940710,0.040000,320.942273
-1.340000,-0.740000,0.912889,0.040000,323.339346
-1.300000,-0.740000,0.885690,0.040000,325.809416
-1.260000,-0.740000,0.858782,0.040000,328.348970
-1.220000,-0.740000,0.832926,0.040000,330.953589
-1.180000,-0.740000,0.808223,0.040000,333.617863
-1.140000,-0.740000,0.784751,0.040000,336.335312
-1.100000,-0.740000,0.761298,0.040000,339.098322
-1.060000,-0.740000,0.739267,0.040000,341.898109
-1.020000,-0.740000,0.718789,0.040000,344.724707
-0.980000,-0.740000,0.698444,0.040000,347.567003
-0.940000,-0.740000,0.679680,0.040000,350.412819
-0.900000,-0.740000,0.661968,0.040000,353.249042
-0.860000,-0.740000,0.645075,0.040000,356.061823
-0.820000,-0.740000,0.629575,0.040000,358.836816
-0.780000,-0.740000,0.614737,0.040000,361.559470
-0.740000,-0.740000,0.601102,0.040000,364.215346
-0.700000,-0.740000,0.588524,0.040000,366.790447
-0.660000,-0.740000,0.576484,0.040000,369.271530
-0.620000,-0.740000,0.565882,0.040000,371.646387
-0.580000,-0.740000,0.555742,0.040000,373.904063
-0.540000,-0.740000,0.546362,0.040000,376.035006
-0.500000,-0.740000,0.538114,0.040000,378.031145
-0.460000,-0.740000,0.530704,0.040000,379.885888
-0.420000,-0.740000,0.523473,0.040000,381.594050
-0.380000,-0.740000,0.517185,0.040000,383.151737
-0.340000,-0.740000,0.511785,0.040000,384.556181
-0.300000,-0.740000,0.507239,0.040000,385.805565
-0.260000,-0.740000,0.502804,0.040000,386.898826
-0.220000,-0.740000,0.499037,0.040000,387.835479
-0.180000,-0.740000,0.496067,0.040000,388.615436
-0.140000,-0.740000,0.493889,0.040000,389.238864
-0.100000,-0.740000,0.492416,0.040000,389.706050
-0.060000,-0.740000,0.490917,0.040000,390.017297
-0.020000,-0.740000,0.490180,0.040000,390.172853
0.020000,-0.740000,0.490180,0.040000,390.172853
0.060000,-0.740000,0.490917,0.040000,390.017297
0.100000,-0.740000,0.492416,0.040000,389.706050
0.140000,-0.740000,0.493889,0.040000,389.238864
0.180000,-0.740000,0.496067,0.040000,388.615436
0.220000,-0.740000,0.499037,0.040000,387.835479
0.260000,-0.740000,0.502804,0.040000,386.898826
0.300000,-0.740000,0.507239,0.040000,385.805565
0.340000,-0.740000,0.511785,0.040000,384.556181
0.380000,-0.740000,0.517185,0.040000,383.151737
0.420000,-0.740000,0.523473,0.040000,381.594050
0.460000,-0.740000,0.530704,0.040000,379.885888
0.500000,-0.740000,0.538114,0.040000,378.031145
0.540000,-0.740000,0.546362,0.040000,376.035006
0.580000,-0.740000,0.555742,0.040000,373.904063
0.620000,-0.740000,0.565882,0.040000,371.646387
0.660000,-0.740000,0.576484,0.040000,369.271530
0.700000,-0.740000,0.588524,0.040000,366.790447
0.740000,-0.740000,0.601102,0.040000,364.215346
0.780000,-0.740000,0.614737,0.040000,361.559470
0.820000,-0.740000,0.629575,0.040000,358.836816
0.860000,-0.740000,0.645075,0.040000,356.061823
0.900000,-0.740000,0.661968,0.040000,353.249042
0.940000,-0.740000,0.679680,0.040000,350.412819
0.980000,-0.740000,0.698444,0.040000,347.567003
1.020000,-0.740000,0.718789,0.040000,344.724707
1.060000,-0.740000,0.739267,0.040000,341.898109
1.100000,-0.740000,0.761298,0.040000,339.098322
1.140000,-0.740000,0.784751,0.040000,336.335312
1.180000,-0.740000,0.808223,0.040000,333.617863
1.220000,-0.740000,0.832926,0.040000,330.953589
1.260000,-0.740000,0.858782,0.040000,328.348970
1.300000,-0.740000,0.885690,0.040000,325.809416
1.340000,-0.740000,0.912889,0.040000,323.339346
1.380000,-0.740000,0.940710,0.040000,320.942273
1.420000,-0.740000,0.969384,0.040000,318.620892
1.460000,-0.740000,0.998836,0.040000,316.377173
1.500000,-0.740000,1.029001,0.040000,314.212447
-1.580000,-0.700000,1.066544,0.040000,312.645486
-1.540000,-0.700000,1.035042,0.040000,314.763732
-1.500000,-0.700000,1.003586,0.040000,316.967954
-1.460000,-0.700000,0.972633,0.040000,319.258198
-1.420000,-0.700000,0.942361,0.040000,321.634016
-1.380000,-0.700000,0.912839,0.040000,324.094389
-1.340000,-0.700000,0.884141,0.040000,326.637624
-1.300000,-0.700000,0.856351,0.040000,329.261261
-1.260000,-0.700000,0.829150,0.040000,331.961955
-1.220000,-0.700000,0.802339,0.040000,334.735370
-1.180000,-0.700000,0.776665,0.040000,337.576061
-1.140000,-0.700000,0.752241,0.040000,340.477373
-1.100000,-0.700000,0.728762,0.040000,343.431341
-1.060000,-0.700000,0.705716,0.040000,346.428626
-1.020000,-0.700000,0.684235,0.040000,349.458482
-0.980000,-0.700000,0.663898,0.040000,352.508768
-0.940000,-0.700000,0.644129,0.040000,355.566024
-0.900000,-0.700000,0.626293,0.040000,358.615621
-0.860000,-0.700000,0.608567,0.040000,361.641974
-0.820000,-0.700000,0.592853,0.040000,364.628844
-0.780000,-0.700000,0.577325,0.040000,367.559696
-0.740000,-0.700000,0.563718,0.040000,370.418097
-0.700000,-0.700000,0.550286,0.040000,373.188144
-0.660000,-0.700000,0.538263,0.040000,375.854863
-0.620000,-0.700000,0.527432,0.040000,378.404566
-0.580000,-0.700000,0.516795,0.040000,380.825132
-0.540000,-0.700000,0.507423,0.040000,383.106186
-0.500000,-0.700000,0.499182,0.040000,385.239181
-0.460000,-0.700000,0.491186,0.040000,387.217369
